route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
9b88f678a33eff52032bb9a4e1d9c268,167543,1424399,Valga bussijaam,Valga - Rebasemõisa - Valga,A>C3>A,49338,0
8e5cd678a3aee28f790ce20012f99500,167993,1471137,Tartu bussijaam,Ristimäe - Puhja - Ulila  - Tartu,B>C>A,61477,0
0d53193821e10948f52dda288da6589c,168147,1634039,Käära,Pärnu-Uulu kool-Jaamaküla-Tõitoja-Massiaru-Käära,A>B,42030,0
0d53193821e10948f52dda288da6589c,168147,1634038,Pärnu bussijaam,Käära - Massiaru - Tõitoja - Uulu kool - Pärnu,B>A,48939,0
d25b7b470dddb42d16dcd2070ea7e58b,168174,1471141,Elva,Tartu - Ulila - Puhja - Rannu - Annikoru - Elva,A>C>B,61487,0
3f2d659e15161d1f5c0db6a6a5728c98,168278,1471142,Elva,Tartu - Ulila - Puhja - Limnoloogia tee - Rannu - Elva,A>C>B,61500,0
72d67d4c528aa0fd973e8c97985e93df,168291,1470067,Tartu bussijaam,Tartu - Elva - Annikoru - Rannu - Puhja - Ulila - Tartu,A>C>A,61448,0
5466d96cb38b48740e60755f339a9fe3,168420,1880516,Räpina bussijaam,Räpina - Linte - Mehikoorma - Linte - Räpina,A>B,61852,0
db9e6f6c82d4bd151f03250ceb5e19a5,168584,1551643,Võru bussijaam,Tallinn - Tartu - Kambja - Kanepi - Võru,B>A,49575,0
db9e6f6c82d4bd151f03250ceb5e19a5,168584,1551642,Tallinna bussijaam,Võru - Kanepi - Kambja - Tartu - Tallinn,A>B,49574,0
b9257b6ff9323cbfef92753d9b7a9bf7,168668,1473516,Sõõru,Tartu - Koosa - Alatskivi - Kallaste - Pala - (Sõõru),A>C>B,61530,0
992bb837ee5e510d76393a4fa251d5dc,168810,1113649,Tartu bussijaam,Värska - Räpina - Tartu,B>A,36781,0
992bb837ee5e510d76393a4fa251d5dc,168810,1113648,Värska sanatoorium,Tartu - Räpina - Värska,A>B,26692,0
30c6d15f941af469ad606552a213f392,168867,1473517,Kallaste,Tartu - Pilka - Koosa - Varnja - Alatskivi kool - Kallaste,A>C>B,61572,0
a9375771048e7fbc457d9e58ec87c091,168914,1115772,Lümanda,Kuressaare-Kõrkküla-Lümanda (Karala-Atla-Lüm. tellimisel),A>B,43627,0
1d58db82528922f043e9c7d0264c8a46,169092,1473519,Tartu bussijaam,Tartu - Välgi - Alatskivi - Kallaste - Varnja - Tartu,A>C>A,61537,0
20b3b5db2261e44694da0b042838feb7,169272,1778925,Tallinna bussijaam,Rakvere - Haljala - Tallinn,A>B,26391,0
b5d0f2b9e26816bfeda88b39c75cf423,169366,1473520,Tartu bussijaam,Kallaste - Kokora - Alatskivi - Välgi - Tartu,B>C>A,60765,0
2d1f6d5b6d3b1660f426af6a5d9a935a,169367,1854888,Viljandi bussijaam,Tipu - Kõpu - Heimtali - Viljandi,A>B,49692,0
270a1dd73972134dd8b5fc5755dda971,169370,1473521,Tartu bussijaam,Sadala - Torma - Voore - Vedu - Tartu,B>C>A,61539,0
b5827e808affff7bdbb66b45fee3718d,169372,1473523,Tartu bussijaam,Koosa - Puusepa - (Viira kõrts) - Tammistu - Tartu,B>C>A,61541,0
b1e4c672a61d4cfa4cfb9a9f7cdff9a2,169498,1121529,Põltsamaa,Põltsamaa - Adavere - Põltsamaa,A>B>A,49703,0
8663359d68b186510a26b862cc0d10b2,169502,1291967,Adavere,Põltsamaa - Adavere,A>B>A,49718,0
8663359d68b186510a26b862cc0d10b2,169503,1291968,Adavere,Põltsamaa - Adavere,A>B>A,49718,0
8663359d68b186510a26b862cc0d10b2,169504,1291969,Adavere,Põltsamaa - Adavere,A>B>A,49718,0
b079dd9e468f4b45f607ecf9ec0f6fac,169508,1121538,Põltsamaa,Põltsamaa - Adavere - Põltsamaa,A>B,49720,0
c15027ec4953cc7b47abbfe6adc82c21,169549,1473527,Tartu bussijaam,(Kärgandi tee) - Välgi -  Vara - Tartu,B>C>A,61545,0
f9dd006e9bb2530707d7d8a4084c2134,169564,1473529,Jõgeva,Tartu - Vasula - Lähte - Äksi keskus - Palamuse - Jõgeva,A>C>B,61547,0
0833fef604fa1193ce9ef2a7d48ef998,169578,1139545,Kõpu,Viljandi - Kõpu,A>B2,50164,0
0833fef604fa1193ce9ef2a7d48ef998,169578,1139546,Viljandi bussijaam,Kõpu - Viljandi,B1>A,50165,0
0833fef604fa1193ce9ef2a7d48ef998,169580,1139547,Viljandi bussijaam,Kõpu - Viljandi,B1>A,50165,0
5bb302872a52a5a5f64f47d38b1b34e9,169585,1854890,Viljandi bussijaam,Iia - Kõpu - Vanaveski - Tohvri - Viljandi,B1>A3,50139,0
5bb302872a52a5a5f64f47d38b1b34e9,169585,1854889,Iia,Viljandi - Tohvri - Vanaveski - Kõpu - Iia,B1>A2,50138,0
5bb302872a52a5a5f64f47d38b1b34e9,169588,1139551,Kõpu,Viljandi - Tohvri - Vanaveski - Kõpu,A>B,50167,0
5bb302872a52a5a5f64f47d38b1b34e9,169598,1627704,Kõpu,Viljandi - Tohvri - Vanaveski - Kõpu,A2>B,50168,0
d91eabedf96da5df4a1a4f7477aef2c0,169707,1473535,Maarja-Magdaleena,Tartu - Vedu - Maarja-Magdaleena,A>C>B,61540,0
fd897ae6e33c5c4f338ae91f6f202e71,169763,1473539,Aaviku,Tartu - Kõrveküla - Tammistu - Aaviku,A>C>B,61549,0
1d05ba8ee7687bc289559b89d8fc7acb,169766,1473542,Sadala,Tartu - Vedu - Voore - Torma - (Sadala),A>C>B,61562,0
aa3d66af18d372df353e1cab64a14738,169767,1473543,Sadala,Tartu - Vedu - Voore - Torma - (Sadala),A>C>B,61538,0
e0486d24423ad5c3e8db247a4c117ce5,169768,1122784,Jõgeva,Pala - Kääpa - Voore - Palamuse - Kuremaa - Jõgeva,D>A,25171,0
fa4eed6d620726826d02315734cffc78,169816,1470078,Tartu bussijaam,Tartu - Lennujaam - Uhti keskus - Tartu,A>C>A,61415,0
4fb71d76d0dba67ab3e955cb114a6cc9,169942,1473546,Nõva,Tartu - Tammistu - Koosa - Alatskivi - Kokora - (Nõva),A>C>B,61552,0
60441398b01fed438af15285f15d00b4,169950,1473547,Tartu bussijaam,Nõva - Alatskivi - Koosa - Tammistu - Tartu,B>C>A,61057,0
c3d04df54ef07cc1bb8fd7055ee1b584,170083,1283204,KURESSAARE,Kuressaare-Randvere-Mustjala-(Tagaranna tellim) Kuressaare,A>B,49911,0
2745fce5b7bd868da885b018523f9818,170084,1653245,Põlva bussijaam,Põlva - Rosma - Ähnioru - Põlva,A>B,27065,0
48226b9db119f456e14b55def877524a,170102,1470083,Tartu bussijaam,Kambja park - Ülenurme keskus - Tõrvandi - Tartu,B>C>A,61421,0
abbcc009e2794960200fc5a585a768ce,170118,1126317,Tagaranna,Kuressaare-Randvere-Mustjala (Tagaranna tellim),A>B,49915,0
71ffac40a0bd631b425dae1864293a81,170126,1126378,KURESSAARE,KUR-Randvere -Mustjala-(Küdema-Tagaranna tellim)-KUR,A>B,49917,0
